Question Title,Question Ref. ID,Question Text,Calculated Average,Calculated Std.,Option 0 Label,Option 0 selections,Option 1 Label,Option 1 selections,Option 2 Label,Option 2 selections,Option 3 Label,Option 3 selections,Option 4 Label,Option 4 selections,Option 5 Label,Option 5 selections,Option 6 Label,Option 6 selections,Option 7 Label,Option 7 selections,Option 8 Label,Option 8 selections,Option 9 Label,Option 9 selections,Course,Term
Delivery,Computed delivery score,3.7801149425287357,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 135,Spring 2016
Prep,Computed prep score,3.5244444444444447,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 135,Spring 2016
Attendance Percentage,Average response for attendance,78.5,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 135,Spring 2016
Hours/Week,Average time spent per week on work,6.566666666666666,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 135,Spring 2016
Organization,177,Evaluate the organization and coherence of the lectures:,4.290322580645161,0.6925098500910425,Excellent,13.0,Good,14.0,Satisfactory,4.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Explanations,178,At what levels were the instructor's explanations aimed?:,4.40625,0.7975516971817058,Too high,2.0,Somewhat too high,13.0,Just Right,17.0,Somewhat too low,0.0,Too low,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Questions,179,Evaluate the instructor's treatment of students' questions:,4.34375,0.8654432017665117,Excellent,18.0,Good,8.0,Satisfactory,5.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.34375,0.7873751821205408,Excellent,16.0,Good,12.0,Satisfactory,3.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.34375,0.745280852019624,Excellent,16.0,Good,11.0,Satisfactory,5.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Availability,182,Was the instructor available for help outside of class?:,4.28,0.7916228058025279,Available,12.0,Usually available,8.0,Sometimes available,5.0,Rarely available,0.0,Unavailable,0.0,Did not seek help,6.0,,,,,,,,,MATH 135,Fall 2016
Ability to hold Interest,184,Did you find the course interesting?,3.34375,1.1247759633553411,Very interesting,9.0,Interesting,16.0,Not interesting,7.0,No opinion,0.0,,,,,,,,,,,,,MATH 135,Fall 2016
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.1875,0.8957786304878621,Excellent,13.0,Good,14.0,Satisfactory,4.0,Unsatisfactory,0.0,Very poor,1.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Attendance,187,What proportion of lectures did you attend in this course?,80.80645161290323,19.497725260208707,90-100%,22.0,75-90%,5.0,50-75%,3.0,25-50%,0.0,<25%,1.0,,,,,,,,,,,MATH 135,Fall 2016
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",3.7096774193548385,1.1602743464973209,Very helpful,13.0,Helpful,14.0,Not helpful,4.0,No work assigned,0.0,,,,,,,,,,,,,MATH 135,Fall 2016
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,4.0,1.1055415967851334,Very helpful,10.0,Helpful,8.0,Not helpful,1.0,No printed notes,9.0,,,,,,,,,,,,,MATH 135,Fall 2016
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,3.6333333333333333,0.9994251221140296,Very helpful,10.0,Helpful,19.0,Not helpful,1.0,No text required,1.0,,,,,,,,,,,,,MATH 135,Fall 2016
New Material,191,Did the course introduce an appropriate amount of new material?,3.84375,1.1670026397957816,Too much,8.0,Somewhat too much,13.0,Right amount,11.0,Somewhat too little,0.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.28125,0.9240295694193396,Too much,3.0,Somewhat too much,12.0,Right amount,16.0,Somewhat too little,1.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 135,Fall 2016
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",9.112903225806452,3.6095006058533787,0-2 hours,0.0,3-6 hours,8.0,7-10 hours,13.0,11-15 houts,8.0,> 15 hours,2.0,,,,,,,,,,,MATH 135,Fall 2016
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),4.138798387096774,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Effectiveness,Computed effectiveness score,4.01875,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Delivery,Computed delivery score,4.343500000000001,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Prep,Computed prep score,4.174193548387096,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Attendance Percentage,Average response for attendance,80.80645161290323,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Hours/Week,Average time spent per week on work,9.112903225806452,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 135,Fall 2016
Organization,177,Evaluate the organization and coherence of the lectures:,4.0476190476190474,0.9928025550771696,Excellent,30.0,Good,38.0,Satisfactory,9.0,Unsatisfactory,4.0,Very poor,3.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2017
Explanations,178,At what levels were the instructor's explanations aimed?:,4.573170731707317,0.8319319743807113,Too high,1.0,Somewhat too high,18.0,Just Right,58.0,Somewhat too low,3.0,Too low,2.0,No opinion,4.0,,,,,,,,,MATH 136,Winter 2017
Questions,179,Evaluate the instructor's treatment of students' questions:,4.2,0.9332127709956431,Excellent,38.0,Good,25.0,Satisfactory,13.0,Unsatisfactory,3.0,Very poor,1.0,No opinion,5.0,,,,,,,,,MATH 136,Winter 2017
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.182926829268292,0.9444842969433312,Excellent,39.0,Good,24.0,Satisfactory,15.0,Unsatisfactory,3.0,Very poor,1.0,No opinion,3.0,,,,,,,,,MATH 136,Winter 2017
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.0476190476190474,0.9682273195295716,Excellent,31.0,Good,34.0,Satisfactory,13.0,Unsatisfactory,4.0,Very poor,2.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2017
Availability,182,Was the instructor available for help outside of class?:,4.052631578947368,0.9528351047490357,Available,24.0,Usually available,15.0,Sometimes available,15.0,Rarely available,3.0,Unavailable,0.0,Did not seek help,27.0,,,,,,,,,MATH 136,Winter 2017
Ability to hold Interest,184,Did you find the course interesting?,3.185185185185185,0.9098229375970792,Very interesting,14.0,Interesting,54.0,Not interesting,13.0,No opinion,5.0,,,,,,,,,,,,,MATH 136,Winter 2017
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,3.9759036144578315,0.9103189418892624,Excellent,26.0,Good,35.0,Satisfactory,17.0,Unsatisfactory,4.0,Very poor,1.0,No opinion,3.0,,,,,,,,,MATH 136,Winter 2017
Attendance,187,What proportion of lectures did you attend in this course?,79.59770114942529,20.291744093960137,90-100%,60.0,75-90%,14.0,50-75%,8.0,25-50%,3.0,<25%,2.0,,,,,,,,,,,MATH 136,Winter 2017
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",3.9642857142857144,1.0915494521735825,Very helpful,43.0,Helpful,36.0,Not helpful,5.0,No work assigned,0.0,,,,,,,,,,,,,MATH 136,Winter 2017
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,4.181818181818182,0.9947005456295313,Very helpful,26.0,Helpful,18.0,Not helpful,0.0,No printed notes,35.0,,,,,,,,,,,,,MATH 136,Winter 2017
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,4.0,1.0481371805712143,Very helpful,37.0,Helpful,33.0,Not helpful,2.0,No text required,6.0,,,,,,,,,,,,,MATH 136,Winter 2017
New Material,191,Did the course introduce an appropriate amount of new material?,4.329268292682927,1.019015235699237,Too much,11.0,Somewhat too much,22.0,Right amount,49.0,Somewhat too little,0.0,Too little,0.0,No opinion,3.0,,,,,,,,,MATH 136,Winter 2017
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.714285714285714,0.6319110157622289,Too much,2.0,Somewhat too much,14.0,Right amount,66.0,Somewhat too little,2.0,Too little,0.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2017
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",6.738372093023256,2.9242663677116854,0-2 hours,2.0,3-6 hours,42.0,7-10 hours,37.0,11-15 houts,2.0,> 15 hours,3.0,,,,,,,,,,,MATH 136,Winter 2017
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),3.969435468916848,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Effectiveness,Computed effectiveness score,3.8177599286033024,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Delivery,Computed delivery score,4.211269637508406,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Prep,Computed prep score,4.030952380952381,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Attendance Percentage,Average response for attendance,79.59770114942529,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Hours/Week,Average time spent per week on work,6.738372093023256,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2017
Organization,177,Evaluate the organization and coherence of the lectures:,4.163265306122449,0.8457763779299696,Excellent,38.0,Good,43.0,Satisfactory,13.0,Unsatisfactory,3.0,Very poor,1.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2018
Explanations,178,At what levels were the instructor's explanations aimed?:,4.428571428571429,0.994832006747613,Too high,5.0,Somewhat too high,15.0,Just Right,67.0,Somewhat too low,9.0,Too low,2.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2018
Questions,179,Evaluate the instructor's treatment of students' questions:,4.329896907216495,0.7868932779785548,Excellent,50.0,Good,30.0,Satisfactory,16.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2018
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.175257731958763,0.9015069476339612,Excellent,42.0,Good,35.0,Satisfactory,17.0,Unsatisfactory,1.0,Very poor,2.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2018
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.295918367346939,0.7760484583853355,Excellent,47.0,Good,34.0,Satisfactory,16.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2018
Availability,182,Was the instructor available for help outside of class?:,4.594936708860759,0.6702274268001748,Available,55.0,Usually available,16.0,Sometimes available,8.0,Rarely available,0.0,Unavailable,0.0,Did not seek help,20.0,,,,,,,,,MATH 136,Winter 2018
Ability to hold Interest,184,Did you find the course interesting?,3.3157894736842106,0.9921302880159713,Very interesting,22.0,Interesting,59.0,Not interesting,14.0,No opinion,4.0,,,,,,,,,,,,,MATH 136,Winter 2018
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.142857142857143,0.812276932106895,Excellent,36.0,Good,43.0,Satisfactory,17.0,Unsatisfactory,1.0,Very poor,1.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2018
Attendance,187,What proportion of lectures did you attend in this course?,79.44444444444444,21.522281867405358,90-100%,66.0,75-90%,21.0,50-75%,7.0,25-50%,0.0,<25%,5.0,,,,,,,,,,,MATH 136,Winter 2018
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",3.7244897959183674,1.0431970313831214,Very helpful,38.0,Helpful,55.0,Not helpful,5.0,No work assigned,1.0,,,,,,,,,,,,,MATH 136,Winter 2018
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,3.8615384615384616,1.0439846005348186,Very helpful,29.0,Helpful,34.0,Not helpful,2.0,No printed notes,32.0,,,,,,,,,,,,,MATH 136,Winter 2018
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,4.035294117647059,1.040227296859514,Very helpful,45.0,Helpful,38.0,Not helpful,2.0,No text required,13.0,,,,,,,,,,,,,MATH 136,Winter 2018
New Material,191,Did the course introduce an appropriate amount of new material?,4.5,0.7631999913549028,Too much,5.0,Somewhat too much,32.0,Right amount,60.0,Somewhat too little,1.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2018
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.686868686868687,0.7092172265375716,Too much,3.0,Somewhat too much,12.0,Right amount,79.0,Somewhat too little,5.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2018
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",6.070707070707071,3.288050490117469,0-2 hours,7.0,3-6 hours,59.0,7-10 hours,25.0,11-15 houts,4.0,> 15 hours,4.0,,,,,,,,,,,MATH 136,Winter 2018
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),4.0988284127294055,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Effectiveness,Computed effectiveness score,3.977443609022557,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Delivery,Computed delivery score,4.364916228790877,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Prep,Computed prep score,4.075510204081633,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Attendance Percentage,Average response for attendance,79.44444444444444,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Hours/Week,Average time spent per week on work,6.070707070707071,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2018
Organization,177,Evaluate the organization and coherence of the lectures:,3.8205128205128207,0.8544556553365258,Excellent,7.0,Good,21.0,Satisfactory,9.0,Unsatisfactory,1.0,Very poor,1.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Explanations,178,At what levels were the instructor's explanations aimed?:,4.256410256410256,0.9925498454392664,Too high,0.0,Somewhat too high,15.0,Just Right,19.0,Somewhat too low,3.0,Too low,2.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Questions,179,Evaluate the instructor's treatment of students' questions:,3.948717948717949,0.9444775205237173,Excellent,12.0,Good,16.0,Satisfactory,9.0,Unsatisfactory,1.0,Very poor,1.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",3.6666666666666665,0.9551338658818384,Excellent,7.0,Good,17.0,Satisfactory,11.0,Unsatisfactory,3.0,Very poor,1.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,3.6923076923076925,1.004040420497055,Excellent,8.0,Good,16.0,Satisfactory,12.0,Unsatisfactory,1.0,Very poor,2.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Availability,182,Was the instructor available for help outside of class?:,3.8,1.1516578439248721,Available,6.0,Usually available,8.0,Sometimes available,3.0,Rarely available,2.0,Unavailable,1.0,Did not seek help,19.0,,,,,,,,,MATH 136,Winter 2019
Ability to hold Interest,184,Did you find the course interesting?,2.8684210526315788,0.8752158847679885,Very interesting,4.0,Interesting,21.0,Not interesting,13.0,No opinion,2.0,,,,,,,,,,,,,MATH 136,Winter 2019
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,3.6,0.9818872461248106,Excellent,5.0,Good,21.0,Satisfactory,9.0,Unsatisfactory,3.0,Very poor,2.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2019
Attendance,187,What proportion of lectures did you attend in this course?,76.9047619047619,24.839788620727354,90-100%,27.0,75-90%,8.0,50-75%,4.0,25-50%,0.0,<25%,3.0,,,,,,,,,,,MATH 136,Winter 2019
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",3.289473684210526,1.0373535647057284,Very helpful,9.0,Helpful,22.0,Not helpful,7.0,No work assigned,4.0,,,,,,,,,,,,,MATH 136,Winter 2019
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,3.5652173913043477,0.9920633665850976,Very helpful,7.0,Helpful,15.0,Not helpful,1.0,No printed notes,18.0,,,,,,,,,,,,,MATH 136,Winter 2019
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,4.090909090909091,1.1001033009346315,Very helpful,19.0,Helpful,12.0,Not helpful,2.0,No text required,9.0,,,,,,,,,,,,,MATH 136,Winter 2019
New Material,191,Did the course introduce an appropriate amount of new material?,4.121951219512195,1.004866208786511,Too much,6.0,Somewhat too much,18.0,Right amount,17.0,Somewhat too little,0.0,Too little,0.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2019
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.575,0.7807787039970954,Too much,2.0,Somewhat too much,9.0,Right amount,28.0,Somewhat too little,1.0,Too little,0.0,No opinion,2.0,,,,,,,,,MATH 136,Winter 2019
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",6.404761904761905,3.622824149745164,0-2 hours,5.0,3-6 hours,19.0,7-10 hours,13.0,11-15 houts,4.0,> 15 hours,1.0,,,,,,,,,,,MATH 136,Winter 2019
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),3.623623481781377,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Effectiveness,Computed effectiveness score,3.4536842105263164,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Delivery,Computed delivery score,3.8728205128205127,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Prep,Computed prep score,3.714304993252362,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Attendance Percentage,Average response for attendance,76.9047619047619,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Hours/Week,Average time spent per week on work,6.404761904761905,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2019
Organization,177,Evaluate the organization and coherence of the lectures:,4.285714285714286,0.8451542547285167,Excellent,10.0,Good,8.0,Satisfactory,2.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Explanations,178,At what levels were the instructor's explanations aimed?:,4.761904761904762,0.4364357804719847,Too high,0.0,Somewhat too high,5.0,Just Right,16.0,Somewhat too low,0.0,Too low,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Questions,179,Evaluate the instructor's treatment of students' questions:,4.476190476190476,0.7496030695673289,Excellent,13.0,Good,5.0,Satisfactory,3.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.2,0.8335087534664908,Excellent,9.0,Good,6.0,Satisfactory,5.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2020
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.4,0.5982430416161187,Excellent,9.0,Good,10.0,Satisfactory,1.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,1.0,,,,,,,,,MATH 136,Winter 2020
Availability,182,Was the instructor available for help outside of class?:,4.5625,0.6291528696058958,Available,10.0,Usually available,5.0,Sometimes available,1.0,Rarely available,0.0,Unavailable,0.0,Did not seek help,5.0,,,,,,,,,MATH 136,Winter 2020
Ability to hold Interest,184,Did you find the course interesting?,3.75,1.069923755276638,Very interesting,8.0,Interesting,11.0,Not interesting,1.0,No opinion,1.0,,,,,,,,,,,,,MATH 136,Winter 2020
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.333333333333333,0.6582805886043832,Excellent,9.0,Good,10.0,Satisfactory,2.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Attendance,187,What proportion of lectures did you attend in this course?,79.76190476190476,22.106344704416337,90-100%,15.0,75-90%,3.0,50-75%,2.0,25-50%,0.0,<25%,1.0,,,,,,,,,,,MATH 136,Winter 2020
Assigned Work,188,"Was the assigned work (assignments, projects, etc.) helpful in learning the course content?",3.9,1.020835571068081,Very helpful,9.0,Helpful,11.0,Not helpful,0.0,No work assigned,1.0,,,,,,,,,,,,,MATH 136,Winter 2020
Printed Notes,189,Were the printed notes (if any) helpful in learning the course content?,3.888888888888889,1.0540925533894598,Very helpful,4.0,Helpful,5.0,Not helpful,0.0,No printed notes,12.0,,,,,,,,,,,,,MATH 136,Winter 2020
Textbook,190,Was the required textbook (if any) helpful in learning the course content?,4.333333333333333,0.970142500145332,Very helpful,12.0,Helpful,6.0,Not helpful,0.0,No text required,3.0,,,,,,,,,,,,,MATH 136,Winter 2020
New Material,191,Did the course introduce an appropriate amount of new material?,4.571428571428571,0.5976143046671968,Too much,0.0,Somewhat too much,7.0,Right amount,13.0,Somewhat too little,1.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Assigned Work Amount,192,Was the amount of assigned work required for the course appropriate?,4.857142857142857,0.4780914437337575,Too much,0.0,Somewhat too much,1.0,Right amount,19.0,Somewhat too little,1.0,Too little,0.0,No opinion,0.0,,,,,,,,,MATH 136,Winter 2020
Hours Per Week,193,"On average, how many hours per week did you spend on this course outside of lectures?",8.404761904761905,3.696684486195189,0-2 hours,1.0,3-6 hours,5.0,7-10 hours,10.0,11-15 houts,4.0,> 15 hours,1.0,,,,,,,,,,,MATH 136,Winter 2020
Metrics,,,,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Metric Title,Metric Description,Metric Value,Metric Calculation,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Tompa Score,Computed Tompa Score (also acts as evaluate prof score),4.2805059523809526,(@avg(177)*0.8+@avg(188)*0.2)*0.25 + ((@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0)*0.25 + (@avg(184)*0.2+@avg(185)*0.8)*0.5,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Effectiveness,Computed effectiveness score,4.216666666666667,@avg(184)*0.2+@avg(185)*0.8,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Delivery,Computed delivery score,4.480119047619047,(@avg(178)+@avg(179)+@avg(180)+@avg(181)+@avg(182))/5.0,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Prep,Computed prep score,4.208571428571429,@avg(177)*0.8+@avg(188)*0.2,,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Attendance Percentage,Average response for attendance,79.76190476190476,@avg(187),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Hours/Week,Average time spent per week on work,8.404761904761905,@avg(193),,,,,,,,,,,,,,,,,,,,,,MATH 136,Winter 2020
Organization,177,Evaluate the organization and coherence of the lectures:,4.529411764705882,0.6242642728467979,Excellent,10.0,Good,6.0,Satisfactory,1.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 225,Spring 2018
Explanations,178,At what levels were the instructor's explanations aimed?:,4.176470588235294,1.1850788010532811,Too high,1.0,Somewhat too high,5.0,Just Right,9.0,Somewhat too low,1.0,Too low,1.0,No opinion,0.0,,,,,,,,,MATH 225,Spring 2018
Questions,179,Evaluate the instructor's treatment of students' questions:,4.294117647058823,0.8488746876271654,Excellent,8.0,Good,7.0,Satisfactory,1.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 225,Spring 2018
Visual Presentation,180,"Evaluate the effectiveness of the instructor's visual presentation (blackboard, overheads, etc.):",4.4375,0.6291528696058958,Excellent,8.0,Good,7.0,Satisfactory,1.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,1.0,,,,,,,,,MATH 225,Spring 2018
Oral Presentation,181,Evaluate the effectiveness of the instructor's oral presentation:,4.294117647058823,0.5878675320972553,Excellent,6.0,Good,10.0,Satisfactory,1.0,Unsatisfactory,0.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 225,Spring 2018
Availability,182,Was the instructor available for help outside of class?:,4.571428571428571,0.8516306272526399,Available,10.0,Usually available,3.0,Sometimes available,0.0,Rarely available,1.0,Unavailable,0.0,Did not seek help,3.0,,,,,,,,,MATH 225,Spring 2018
Ability to hold Interest,184,Did you find the course interesting?,3.6875,1.25,Very interesting,7.0,Interesting,6.0,Not interesting,3.0,No opinion,1.0,,,,,,,,,,,,,MATH 225,Spring 2018
Effectiveness,185,Evaluate the overall effectiveness of the instructor as a teacher:,4.352941176470588,0.8617697249402124,Excellent,9.0,Good,6.0,Satisfactory,1.0,Unsatisfactory,1.0,Very poor,0.0,No opinion,0.0,,,,,,,,,MATH 225,Spring 2018
Attendance,187,What proportion of lectures did you attend in this course?,84.11764705882354,10.93093290244008,90-100%,12.0,75-90%,4.0,50-75%,1.0,25-50%,0.0,<25%,0.0,,,,,,,,,,,MATH 225,Spring 2018
